title
"Greenpeace obsadili rypadlo v dole Turów. Krade Česku vodu, tvrdí aktivisté"
"Pardubičtí politici odvrátili válku s majitelem Dynama, dají mu 6 milionů"
"Bývalý pasťák v Králíkách koupil majitel skiareálu, starosta to kvituje"
"Ústavní soud nařídil znovu otevřít spor o pozemky Colloredo-Mansfeldů"
"Kvůli covidu se do škol přes online zápisy dostaly i nevyzrálé děti"
"Hitler v současném Brně. Milovník historie vyrobil koláže z jeho návštěvy"
"Krádež řepky pro slepice vyjde muže na tisíce"
"Při požáru příbytku málem zemřeli dva bezdomovci, jednoho museli oživovat"
"Pouštění odposlechů ze Stoky zrušila nemoc, řešila se tak zpackaná oprava"
"Ženu soudí za množení psů. Svědkyně tvrdí, že několik zvířat bylo jejích"
"Pivo z Frýdlantu zachránily večerky. Teď ho pozná Anglie, těší majitele"
"Dálnici D1 na Brno uzavřela na Vysočině nehoda tří aut, v místě hustě sněžilo"
"Důležitý brněnský uzel „sváže“ oprava, všechny neduhy však nezmizí"
"Cesta z přerovského dopravního pekla povede „průpichem“ přes továrnu"
"Děti do školy pustí jen otisky prstu. Budovu hlídá biometrický zámek"
"Řidič pil za jízdy v kamionu, se dvěma promile mířil ze Slovenska do SRN"
"Žďár chce po státu miliony za prohraný vleklý spor s bývalou učitelkou"
"Při přestřelce se zlodějem na benzince v Trutnově byl zraněn strážník"
"Pod Ještědem hořela historicky zajímavá roubenka, hasiče potrápil sníh"
"Na radnici Brno-střed byli policisté, zajímají se o údajné kupčení s byty"
"Hradec vybral vítěze tendru na fotbalový stadion, slevu město nechce"
"Zloděj postřelil strážníka na benzince v Trutnově kvůli čtyřem limonádám"
"Družka volala pomoc kvůli pobodanému muži, záhy ji obvinili z vraždy"
"V odkysličeném skladu na ovoce se na Olomoucku udusili dva pracovníci"
"Nic jsem neudělal, tvrdí mladík obžalovaný z přepadení a zranění seniorky"
"Aktivisté dál blokují rypadlo, polské odbory si stěžují EU na Česko"
"Žena při běhání v lesích u Písku objevila jedenáct lidských lebek"
"Postcovidový syndrom útočí na srdce. Postihuje i kojence, říká primář"
"Proč hvězdy normalizačního popu? Lidé nechtějí jména ulic podle Štaidla a Svobody"
"Barták uspěl s dovoláním, případem se bude znovu zabývat soud v Liberci"
"Čech se devět let vyhýbal v Keni vězení, zradily ho vlastní doklady"
"Chovatel si pořídil malou zoo, podle veterinářů týral zvířata hlady"
"Strakonický babybox zachránil 217. dítě, Tomáškovi je už několik měsíců"
"Řidiči přispívají pokutami z úsekového měření na nový domov pro seniory"
"Cestu vlakem ze Znojma do Brna chtějí s novou tratí zkrátit na 25 minut"
"Ohrožené luňáky někdo otrávil, ornitologové je našli díky vysílačkám"
"Hlídka přistihla řidiče vezoucího velké rostliny konopí, hrozí mu vězení"
"Žáci čekající na závěrečné zkoušky „zapomínají“ řídit, zní z autoškol"
"Přepadli mě, tvrdil zraněný muž na chodníku. Prozradila jej kamera"
"V Novém Jičíně zemřela mladistvá dívka, její přítel ji patrně uškrtil"
"Firma testovala zaměstnance radnice v Prostějově, ačkoli neměla oprávnění"
"Na dvojici mužů se zřítil strop garáže, jednoho ze sutin vytáhl soused"
"Zdrogovaný řidič boural s kradeným autem, spolujezdkyně se vážně zranila"
"Jedna žena našla u Písku v lese lidské lebky, druhá kosti v opuštěné budově"
"Ptačí chřipka pronikla do velkochovů, veterináři utratí 40 tisíc kachen"
"Zarazili jsme obskurní developerské projekty, říká šéf správy CHKO Pálava"
"Po útěku dvou nakažených Plzeň ruší středisko pro bezdomovce s covidem"
"Při hromadné nehodě na Liberecku se zranili tři lidé, silnice je uzavřená"
"Ptačí chřipka pronikla do velkochovů, veterináři utratí 50 tisíc kachen"
"Zmatkující řidič kamionu uvázl na přejezdu, máváním zabránil střetu vlakem"
"Nemocnicím v Karlovarském kraji se ulevilo. V Chebu ruší covidová lůžka"
"Při hromadné nehodě na Liberecku se zranili tři lidé, v místě hustě sněžilo"
"Letos poprvé stouplo lavinové nebezpečí v Krkonoších na třetí stupeň"
"Šestice mužů vykrádala objekty na Třinecku. Recidivista skončil ve vazbě"
"Desítku běženců z Afghánistánu našla ve dvou kamionech policie"
"Hasiči zachraňovali zvířata z hořícího domu na Náchodsku"
"Konflikt skončil v kaluži krve. Záchranka převezla dva muže do nemocnice"
"Jeden mrtvý, druhý zraněný. Policie vyšetřuje násilí na Frýdecko-Místecku"
"Auto na Ostravsku srazilo cyklistu. K nehodě letěl vrtulník"
"První jarní noc byla někde rekordní. Na Kvildě měli minus 24,6 stupně"
"Na Hodonínsku hořela administrativní budova, dva hasiči se lehce zranili"
"Skialpinistce, která zemřela, kamarádi nepomohli. Ani nečekali na záchranku"
"Peci pod Sněžkou hrozí „sídliště naležato“, chystá proto stavební uzávěru"
"Na komíny přilétli první čápi. Některé je možné sledovat z domova"
"OBRAZEM: Obnova vyhořelého kostela v Gutech se blíží ke konci"
"Zastal se napadeného, tři muži ho surově zbili. Kopali do břicha i hlavy"
"Sazenice na konec lockdownu nepočkají, z kavárny v Brně je zahradnictví"
"Za pobodání ženy a tchána dostal Vietnamec 13 let, jednal prý v afektu"
"VIDEO: Jezevčík se zřítil do sklepa, strážnice ho vylákala až díky šunce"
"Koronavirus loni v Olomouckém kraji ovlivnil počty úmrtí i rozvodů"
"Řidič za jízdy ladil rádio, v protisměru se srazil s nákladním vozem"
"Omylem zaslané peníze nechce firma vrátit, škole přišel jen zlomek zboží"
"Obžalovaný z vražd v Českém ráji míří před soud, hrozí mu doživotní trest"
"Moravskoslezským Podnikatelem roku je Jaroslav Drahoš z firmy Finidr"
"Olomouckým Podnikatelem roku je Oldřich Svoboda z montážní firmy Montix"
"Jihomoravskými Podnikateli roku jsou Lubomír a Juraj Šabatkovi z IDEA StatiCa"
"Covid ničí menší cestovní kanceláře, zájem není ani o dovolenou u nás"
"Obří kraslice neprojde dveřmi, je na ní padesát kostelů z Přerovska"
"Před 130 lety se na Moravě narodil Alfred Neubauer. Naučil Mercedes vyhrávat"
"Prodejce přetáčel tachometry vozů, podvedení majitelé roky nic netušili"
"Největší ostravské očkovací centrum na den zavře, chybí očkovací látky"
"Školy jsou na online záškoláky krátké, některé se obracejí na sociálku"
"Rodina se obávala o babičku, osmdesátiletá stařenka měla na uších sluchátka"
"VIDEO: Dívka se zřítila z patnáctimetrové hradby, předtím popíjela víno"
"Řemeslník vjel autem před vlak, prorazil závoru a přišel o převážená okna"
"Metoda českých lékařů zlepšuje dýchání ventilovaných, projekt se však zasekl"
"V Dukovanech vzniká 3D model jaderné elektrárny, kromě bezpečnostních prvků"
"Bikeři si v lese u Olomouce stavěli park, kácením a kopáním porušili zákon"
"Vrchlabský úřad odložil případ Klausovy cesty na uzavřené Trutnovsko"
"Šéf jihomoravské ČSSD vzdal kandidaturu na předsedu strany, podpoří Petříčka"
"Provoz na D35 a tahu z Moravy do Čech ztěžovaly u Mohelnice nehoda a sníh"
"VIDEO: Stěhování historie. Nákladní automobily Tatry míří do nového muzea"
"Po Hrubém Rohozci cestuje lešení, oprav se dočká i vyhlídková jeskyně"
"Muže soudí za pokus o vraždu, před útokem přestal brát léky na deprese"
"V Brně prasklo vodovodní potrubí, na stejném místě jako minulý pátek"
"Řidič autobusu naboural v Liberci šest zaparkovaných aut, prý se lekl psa"
"Místo billboardů socha světice. V Brně u tunelu hlídkuje svatá Barbora"
"Černá stavba snad už konečně zmizí, radní začali jednat s developery"
"Hackeři na počítačích magistrátu zašifrovali data a žádali dva miliony"
"Festival Rock for People s hvězdnými Green Day se odsouvá na rok 2022"
"Zemřel poslední krkonošský nosič Helmut Hofer, ikona Velké Úpy"
